key,input,translation.english,translation.russian,definition.english,definition.russian,definition.serbian,example,synonyms,additionalInfo.partOfSpeech,additionalInfo.grammaticalGender,additionalInfo.grammaticalNumber,additionalInfo.cases.singular.nominative,additionalInfo.cases.singular.genitive,additionalInfo.cases.singular.dative,additionalInfo.cases.singular.accusative,additionalInfo.cases.singular.instrumental,additionalInfo.cases.singular.locative,additionalInfo.cases.singular.vocative,additionalInfo.cases.plural.nominative,additionalInfo.cases.plural.genitive,additionalInfo.cases.plural.dative,additionalInfo.cases.plural.accusative,additionalInfo.cases.plural.instrumental,additionalInfo.cases.plural.locative,additionalInfo.cases.plural.vocative,createdAt._seconds,createdAt._nanoseconds,updatedAt._seconds,updatedAt._nanoseconds
truli bogataši,truli bogataši,corrupt rich people,гнилые богачи,The term refers to wealthy individuals considered morally and ethically corrupt.,"Термин относится к богатым людям, которых считают морально и этически развращёнными.",Izraz se odnosi na bogate pojedince koje smatramo moralno i etički propadnutima.,Truli bogataši kontrolišu većinu resursa u zemlji.,"pokvareni bogataši, kvarni bogataši, degenerisani bogataši",noun,m,p,truli bogataš,trulog bogataša,trulom bogatašu,trulog bogataša,trulim bogatašem,trulom bogatašu,truli bogatašu,truli bogataši,trulih bogataša,trulim bogatašima,trule bogataše,trulim bogatašima,trulim bogatašima,truli bogataši,1737992960,412000000,1737992960,412000000
u prisustvu,u prisustvu,in the presence of,в присутствии,A situation where something or someone is present with others.,"В ситуации, когда что-то или кто-то присутствует с другими.",Situacija kada je nešto ili neko prisutno sa drugima.,On se oseća samouvereno u prisustvu svojih prijatelja.,"pred, u prisustvima",other,,,,,,,,,,,,,,,,,1738004677,690000000,1738004677,690000000
u raspravi,u raspravi,in the discussion,в обсуждении,The process of considering or arguing about something thoroughly.,Процесс тщательного рассмотрения или обсуждения чего-то.,Proces raspravljanja o nečemu temeljito.,U raspravi je učestvovalo mnogo stručnjaka koji su iznosili svoje mišljenje.,"u diskusiji, u debati",other,,,,,,,,,,,,,,,,,1738004608,39000000,1738004608,39000000
ubacati,,to insert,вставить,"To place something inside something else, typically in a deliberate or specific manner.","поместить что-то внутрь чего-то другого, обычно целенаправленно или определенным образом.","postaviti nešto unutar nečega drugog, obično na nameran ili specifičan način.",Ubaci loptu u koš.,"staviti, unutra-ubaciti, smestiti, implementirati",,,,,,,,,,,,,,,,,,1735029577,4000000,1735029577,4000000
ubiti,,to kill,убить,To cause the death of a living organism intentionally.,умышленно привести к гибели живого организма.,Namerno izazvati smrt živog organizma.,Morali su da ubiju zver pre nego što ona napadne selo.,"likvidirati, uništiti, pogubiti, smaknuti",,,,,,,,,,,,,,,,,,1731863694,817000000,1731863694,817000000
ucenile,/ucenile,(they) learned/taught,(они) научились/учились,The past tense form of the verb that means to gain knowledge or teach others.,"Прошедшая форма глагола, означающего получение знаний или обучение других.",Prošlo vreme glagola koje označava sticanje znanja ili podučavanje drugih.,Deca su u školi ucenile nove pesme.,"učilo, naučilo, podučavalo",verb,,,,,,,,,,,,,,,,,1736800495,966000000,1736800495,966000000
uceniti,uceniti,to blackmail,шантажировать,"To use threats or coercive tactics to gain something, typically money or favor, by exposing sensitive information about a person","Использовать угрозы или принудительные тактики для получения чего-то, обычно денег или услуги, путем угрозы раскрытия конфиденциальной информации о человеке","Upotrebiti pretnje ili zastrašivanje kako bi se od nekoga dobilo nešto, najčešće novac ili usluga, pretnjom otkrivanjem neke osetljive informacije",On je pokušao da ga uceniti fotografijama iz prošlosti.,"iznuđivati, pritiskati, prisiljavati",verb,,,,,,,,,,,,,,,,,1736800486,508000000,1736800486,508000000
udarati,,to hit,ударять,To strike a person or object with a certain force and movement.,наносить удар кому-либо или чему-либо с определенной силой и движением.,"Iskaljivati silu na nešto ili nekoga, obično rukom ili oruđem.",Prestani da udaras loptu po stolu.,"pogađati, lupati, maltretirati",,,,,,,,,,,,,,,,,,1731191175,806000000,1731191175,806000000
ujedno,ujedno,simultaneously,одновременно,The word 'ujedno' means to do something at the same time as another action or event.,Слово 'ujedno' означает делать что-то одновременно с другим действием или событием.,Reč 'ujedno' znači raditi nešto istovremeno sa drugim radnjama ili događajem.,Radila je domaći i ujedno slušala muziku.,"istovremeno, synchronous, simultano",adjective,n,s,ujedno,ujednog,ujednom,ujedno,ujednim,ujednom,ujedno,ujedna,ujednih,ujednim,ujedna,ujednim,ujednim,ujedna,1739813000,51000000,1739813000,51000000
ukotviti se,ukotviti se,to anchor oneself,закрепиться,To secure oneself strongly in a position or location.,Прочно закрепиться в одном месте или позиции.,Čvrsto se učvrstiti na nekoj poziciji ili mestu.,On je odlučio da se ukotvi u ovom gradu i tu osnuje porodicu.,"učvrstiti se, fiksirati se, zabraviti se",verb,,,,,,,,,,,,,,,,,1740413044,545000000,1740413044,545000000
ukrasiti se na,ukrasiti se na,decorate oneself for/on,украсить себя к/на,"To add decorative elements to oneself, typically for a specific occasion or purpose.","Добавить декоративные элементы себе, обычно для определённого случая или цели.","Dodati dekorativne elemente na sebe, obično za određenu priliku ili svrhu.",Marija će se ukrasiti na večerašnji ples.,"ulepšati se, doterati se, srediti se",verb,,,,,,,,,,,,,,,,,1740413067,960000000,1740413067,960000000
unapredenje,unapredenje,improvement,улучшение,The process or action of making something better or more developed.,Процесс или действие по улучшению или развитию чего-либо.,Proces ili akcija unapređenja ili razvoja nečega.,Unapređenje kvaliteta proizvoda je ključno za zadovoljstvo kupaca.,"poboljšanje, usavršavanje, razvoj",noun,n,s,unapredenje,unapredenja,unapredenju,unapredenje,unapredenjem,unapredenju,unapredenje,unapredenja,unapredenja,unapredenjima,unapredenja,unapredenjima,unapredenjima,unapredenja,1739824107,509000000,1739824107,509000000
unapređenje,unapređenje,improvement,улучшение,The process or action of making something better or more effective.,Процесс или действие по улучшению или повышению эффективности чего-то.,Proces ili akcija kojom se nešto poboljšava ili čini efikasnijim.,Unapređenje zaposlenih veština je ključno za uspeh kompanije.,"razvoj, napredak, progresija",noun,n,s,unapređenje,unapređenja,unapređenju,unapređenje,unapređenjem,unapređenju,unapređenje,unapređenja,unapređenja,unapređenjima,unapređenja,unapređenjima,unapređenjima,unapređenja,1739824122,151000000,1739824122,151000000
uperivši,,pointing,направляя,To direct something towards a particular direction or target.,направить что-то в определенное направление или цель.,usmeriti nešto prema određenom pravcu ili cilju.,"Uperivši prst ka zvezdama, dete je pokazalo interesovanje za astronomiju.","usmeriti, pokazati, naciljati",,,,,,,,,,,,,,,,,,1733046273,968000000,1733046273,968000000
uplasiti,,to frighten,испугать,To cause someone to feel afraid or scared.,Заставить кого-то почувствовать страх или испуг.,Izazvati kod nekoga osećaj straha.,Mračna šuma može lako uplašiti dete.,"zaplašiti, preplašiti, zastrašiti",,,,,,,,,,,,,,,,,,1734466746,14000000,1734466746,14000000
upoznavanje,,introduction,знакомство,"The act of becoming known to someone or making someone known to another, often formally.","акт знакомства или представления кого-то кому-то, часто официально.","čin postajanja poznatim nekom ili upoznavanje nekoga drugima, često formalno.",Upoznavanje novih kolega je važno za dobar timski rad.,"predstavljanje, sticanje poznanstva, upoznavanje sa",,,,,,,,,,,,,,,,,,,,,
uputiti,uputiti,to direct,направить,To guide or send someone toward a particular place or goal.,Направить или отправить кого-либо к определённому месту или цели.,Usmeriti nekoga ka određenom mestu ili cilju.,Nastavnik je odlučio da uputi učenika na dodatne časove.,"narediti, usmeriti, poslati",verb,,,,,,,,,,,,,,,,,1738004053,115000000,1738004053,115000000
usidriti se,usidriti se,to anchor,бросить якорь,To fix a vessel in a particular place in a body of water using an anchor.,Закрепить судно в определенном месте на акватории с помощью якоря.,Pritisnuti plovilo u određenom mestu na vodi koristeći sidro.,Brodić se usidrio u mirnoj uvali.,"usidriti, povezati, privezati",verb,,,,,,,,,,,,,,,,,1740413080,289000000,1740413080,289000000
uslediti,uslediti,to follow,последовать,To occur or happen as a result or after another event.,Произойти или наступить в результате или после другого события.,Dogoditi se ili uslediti kao rezultat ili nakon drugog događaja.,"Nakon pada akcija na berzi, moglo bi uslediti pogoršanje ekonomije.","nastupiti, dogoditi se, doći",verb,,,,,,,,,,,,,,,,,1736782600,921000000,1736782600,921000000
uveriti,,to convince,убеждать,To persuade someone to believe or do something.,убедить кого-то поверить во что-то или сделать что-то.,Ubediti nekoga da poveruje ili učini nešto.,Moram je uveriti da je to dobra ideja.,"ubediti, uveravati, nagovoriti",,,,,,,,,,,,,,,,,,1734465483,448000000,1734465483,448000000
